review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
77ed4f94b3638d1f0b0a2dd781c11a8c,5f8772295e1adb4e4832c988d6b631b6,5,,,2018-04-10 00:00:00,2018-04-12 10:28:20
c01eaa86159b994afb4c5eb920993ebc,16e38caa92e342c7780f68832f832d4d,5,,,2018-05-25 00:00:00,2018-05-25 03:45:28
30f2619843ddd4a19bbcb306669d2bf0,5bb8d2fbca419676d395687e28f5263b,5,Muito Bom,Só imaginei que fosse maior a boneca. Mais é legal ,2018-07-24 00:00:00,2018-07-26 22:37:06
0a5d09b8756d5e3b6effecb5986e394d,9682a979182968d8d0b1a356f8bb330e,5,,,2017-06-17 00:00:00,2017-06-17 23:14:59
642be66d80f7dc6f5947f84daf557d4b,22df89b611e2a03b4957043cf949e51f,5,,,2018-08-28 00:00:00,2018-08-28 13:07:10
8b966e3d0515ad0d17b1f925a70f890c,261e71d2349c713eafa9f3df5972b95d,5,,Excelente.,2018-01-31 00:00:00,2018-02-02 22:37:57
0cd0db486b98d5fa0d77f79ec4027c5e,d74cdf7dea16668a34d57964004f0e94,5,Gostei muito do produto ,,2018-06-26 00:00:00,2018-06-27 14:07:10
8405ac15950641d7378ab0f2bac5e592,d5d0829757e3f168a603b3c272d96fff,5,,"Gostei muito do meu produto só acho que
os panos poderiam ser maiores, mais está
Tudo certo....super recomendo este sitie,
entrega muito antes do prazo...com certeza irei comprar outras vezes.
",2018-03-16 00:00:00,2018-03-17 11:54:55
94151614bd1d3cf4b35c8683231d893f,e19a8635d806af6ae2d20b3de998b0c8,5,,"Entregas corretas. Antes do prazo estimado 
Melhor preço da internet.
Amo comprar com as lannister,tanto no site quanto as lojas fisicas. Sempre tem promoções..
Muito obrigada muito satisfeita .",2017-10-07 00:00:00,2017-10-07 21:46:54
98eb570576145a526903ffef8ab09930,6c27984bddb654e222cd1b9a238d2e74,5,,,2018-06-05 00:00:00,2018-06-05 19:45:18
2202268b4d7bb8d133ffc1eb22dd1967,2282f08c7a3e5bc3e7b84bb444d6e1e6,5,,,2018-04-27 00:00:00,2018-05-01 19:52:47
3af8148a09b008f63ecbcbe702fc04f1,63dd1232853b91debb2470c70da85dca,4,,Frete caro,2017-08-26 00:00:00,2017-08-27 18:39:12
e6b1d54707b710b0f0f3b3819f94b8fa,908c02868bb2a9b847e64b23139137e5,5,,,2018-06-27 00:00:00,2018-06-29 20:24:01
63fdf84481d7d818f505ebd0b73eed52,ec34ce0f06a9a35ebf0f0496d595bc84,1,,não recebi a mercadoria ainda. ,2018-03-31 00:00:00,2018-04-02 00:09:58
ca61d33ce36b998cf6bfc38f48859425,76ae7f8d0104f4808d4a93f4b81661d7,3,,,2018-02-15 00:00:00,2018-02-15 19:40:47
7312244806651234199206c84f565453,4cdf8813fc5f4c3d74041453f606868c,1,,Comprei são faz tempo e nada estou indiguinado paguei 279 e cadê meu aparelho,2017-10-25 00:00:00,2017-10-25 09:03:05
21881853688dd9e9a5eff42d80386420,0ca1bac7f133e0eced641bff853f52ea,5,,,2017-11-08 00:00:00,2017-11-09 08:59:33
7a03404f98bb59dc4c1719da32935b88,39a70e9e9b729b11dee34ac12478597f,3,,Achei o produto razoável.,2017-08-23 00:00:00,2017-08-23 23:32:32
53e58368e68f4e4816c966505e1680ae,8628cf35f313fe2e46a2168f21860031,5,,,2017-12-13 00:00:00,2017-12-14 12:19:10
a193e8ab376725be9359279757ec055e,bb95c9f509ff2da87b6015a0d9046f0f,5,Ótimo,"Tudo perfeito amei o produto exatamente o que eu precisava.
A loja também várias vezes que compro sempre no prazo certo e produtos bem embalados e excelente preço.",2018-05-15 00:00:00,2018-05-15 22:33:57
07f2357e36a8e6a6c70f4e4d6515aff4,8f2b0c41d21837f8c6d4682867c66ffb,4,,Produto muito bom!!!,2017-06-28 00:00:00,2017-07-01 01:08:31
b928be3a9fb638f4eea31d7da9ba30e5,410cfb42b9a36728a695fe883df04ebf,5,ÓTIMO ATENDIMENTO.,,2018-06-29 00:00:00,2018-07-03 20:15:26
7e3ccbbcbb0291cd475e0a81a7fb9b1c,abd7d619de0d42df3a64707190c05bb6,5,,,2018-08-04 00:00:00,2018-08-05 11:35:37
7c1ed09efc1b29f8f93add04d312381c,896b228e1623e6b8f20f2b3782750d48,1,Não funciona ,"O mini scanner não esta funcionando, preciso fazer a troca do produto",2018-08-01 00:00:00,2018-08-01 19:12:15
dcb5a99ac081043da014276823f67c51,09a0d7c2cc6f652acd3537e7a91c7000,1,,"No anúncio dizia ""Marca--- Canon"" e eu recebi um produto ""Similar"" ""compatível"". Se eu quisesse um produto falsificado/pirata compraria na minha cidade por 10 reais, não precisaria recorrer à internet",2017-05-20 00:00:00,2017-06-05 18:40:59
32846e905851c460f8572acfdf292d76,d7a1546121d90a9aaae7a851291d2ac6,5,,Entrega feita antes do prazo,2017-11-25 00:00:00,2017-11-29 00:51:05
a56c8418684ea56582a59f53df8122dd,5f4942fc3a59f2e62ae534f981105954,5,,,2018-03-08 00:00:00,2018-03-09 23:16:52
22d926cae8331cc6e1b2091cd8db9a68,3b1c5a036e0412d8c9dda3d6df67782a,4,,,2017-03-22 00:00:00,2017-03-23 13:12:58
6849f7723dc9e2decae40cd28a27f031,fd117d65267f58ad33d914a3cc317543,5,,"perfeito porque é bem feito e com matéria prima de primeira, adoreu",2018-03-24 00:00:00,2018-03-24 20:36:06
5c43964c63907c03148da5d46ca50c9a,a8011c5b1b6536063a53c05cabf56bb0,1,,,2018-01-25 00:00:00,2018-01-28 11:25:56
