seller_id,seller_zip_code_prefix,seller_city,seller_state
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP
55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP
b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR
a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
7722b1df1b0e383e000397b2c11e3e19,9715,sao bernardo do campo,SP
669ae81880e08f269a64487cfb287169,89160,rio do sul,SC
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,SP
37be5a7c751166fbc5f8ccba4119e043,4248,sao paulo,SP
7b07b3c7487f0ea825fc6df75abd658b,2016,sao paulo,SP
4c498c7345e89aebad651544829beca0,6341,carapicuiba,SP
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR
229c3efbfb0ea2058de4ccdfbc3d784a,30190,belo horizonte,MG
fa40cc5b934574b62717c68f3d678b6d,2310,sao paulo,SP
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
caa9bc43a9fe8cf9c564ddd8a03cc4a6,12308,jacarei,SP
7178f9f4dd81dcef02f62acdf8151e01,89560,videira,SC
3f995f07c49d0d55a99d5c54957f7d81,6853,itapecerica da serra,SP
d6b1ce66b035a475f00c017792ff9769,13327,salto,SP
ececbfcff9804a2d6b40f589df8eef2b,14407,franca,SP
7d13fca15225358621be4086e1eb0964,14050,ribeirao preto,SP
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
9f505651f4a6abe901a56cdc21508025,4102,sao paulo,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
79ebd9a61bac3eaf882805ed4ecfa12a,85802,cascavel,PR
8e6d7754bc7e0f22c96d255ebda59eba,12233,sao jose dos campos,SP
cbd996ad3c1b7dc71fd0e5f5df9087e2,15081,sao jose do rio preto,SP
8b321bb669392f5163d04c59e235e066,1212,sao paulo,SP
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
3bdff180c7e1f6551a643b99c265a120,4811,sao paulo,SP
671585f5a2af58b6e276bc01003c0d2b,80510,curitiba,PR
aba1721a889e04decc910aa13b768ef4,5729,sao paulo,SP
6cd68b3ed6d59aaa9fece558ad360c0a,31255,belo horizonte,MG
537eb890efff034a88679788b647c564,20270,rio de janeiro,RJ
89de2d6f23e9746ff309705b23581faa,86060,londrina,PR
955fee9216a65b617aa5c0531780ce60,4782,sao paulo,SP
6e386f64c84e482f0b9abf960797ee1b,1539,sao paulo,SP
ceaec5548eefc6e23e6607c5435102e7,3821,sao paulo,SP
e9bc59e7b60fc3063eb2290deda4cced,87083,maringa,PR
b6d44737c043328708f6749c2dbe50bd,9230,santo andre,SP
dd7ddc04e1b6c2c614352b383efe2d36,3471,sao paulo,SP
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
2ba91c7ad80ff88b23b7db823b43c233,13310,itu,SP
3d0cd21d41671c46f82cd11176bf7277,89217,joinville,SC
f7ba60f8c3f99e7ee4042fdef03b70c4,9628,sao bernardo do campo,SP
5bc24d989e71e93c33e50a7782431b0e,37165,campo do meio,MG
e5a38146df062edaf55c38afa99e42dc,1233,sao paulo,SP
f45122a9ab94eb4f3f8953578bc0c560,13419,piracicaba,SP
48436dade18ac8b2bce089ec2a041202,27277,volta redonda,SP
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
152ee17e4c8aaf53dac99f3462e4999b,89248,garuva,SC
ef0ace09169ac090589d85746e3e036f,24451,sao goncalo,RJ
97e4a63591ca439a2b8b7efd20e6e19e,20520,rio de janeiro,RJ
87142160b41353c4e5fca2360caf6f92,90230,porto alegre,RS
fa1c13f2614d7b5c4749cbc52fecda94,13170,sumare,SP
99eaacc9e6046db1c82b163c5f84869f,14400,franca,SP
23613d49c3ac2bd302259e55c06c050c,13660,porto ferreira,SP
c3cfdc648177fdbbbb35635a37472c53,80610,curitiba,PR
2138ccb85b11a4ec1e37afbd1c8eda1f,8250,sao paulo,SP
ad420dd0c4f92f8af951ac24b86d0cf5,38230,fronteira,MG
e8b4225284fbb02d16f200513f1f395d,14960,novo horizonte,SP
391fc6631aebcf3004804e51b40bcf1e,14940,ibitinga,SP
e9779976487b77c6d4ac45f75ec7afe9,11701,praia grande,SP
f62d7bb4a613ec758a03342d46b580b2,36570,vicosa,MG
db4350fd57ae30082dec7acbaacc17f9,3126,sao paulo,SP
bfd27a966d91cfaafdb25d076585f0da,13930,serra negra,SP
c03121937e54a93fcc1825c3098bbb6e,82800,curitiba,PR
3586b8580d9c917874e053a1bb37b5ff,14802,araraquara,SP
8d956fec2e4337affcb520f56fd8cbfd,9780,sao bernardo do campo,SP
5058e8c1e82653974541e83690655b4a,8583,itaquaquecetuba,SP
3faf68a3b0af94b10bac70d86077be49,13825,holambra,SP
5cbbd5a299cab112b7bf23862255e43e,83324,pinhais,PR
ba90964cff9b9e0e6f32b23b82465f7b,7140,guarulhos,SP
e7df4cd29ab5abab70fb0783ddb53987,4122,sao paulo,SP
f680f85bee2d253556ac91be391d2c82,6365,carapicuiba,SP
7ea5bfa6c340f58f8e71fc1f0412b0d6,30180,belo horizonte,MG
1a3df491d1c4f1589fc2b934ada68bf2,89224,joinville,SC
6560211a19b47992c3666cc44a7e94c0,5849,sao paulo,SP
d97df38225e5abadaff1e72cb72b823c,9560,sao caetano do sul,SP
a420f60ff1aa9acc80d0e42959f2b313,5138,sao paulo,SP
ad97a199236354e53fcd91a5a913e9a2,88350,brusque,SC
dd2bdf855a9172734fbc3744021ae9b9,31255,belo horizonte,MG
dee656f0f566ed1aa85bd137c943f08f,12701,cruzeiro,SP
d673a59aac7a70d8b01e6902bf090a11,14940,ibitinga,SP
00ee68308b45bc5e2660cd833c3f81cc,3333,sao paulo,SP
f5f1f2c5f923f36ad79ea1d07185ddc9,19820,taruma,SP
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
5b925e1d006e9476d738aa200751b73b,4567,sao paulo,SP
e0a366315b1b726b6c7832d664c0f530,2258,sao paulo,SP
4e17c65a516f69d023a2ae78b84f28d6,8673,suzano,SP
12b9676b00f60f3b700e83af21824c0e,95780,montenegro,RS
2059c39f76271d4ca3f15b5ffaccc8b8,81930,curitiba,PR
8cbac7e12637ed9cffa18c7875207478,89254,jaragua do sul,SC
2dee2ce60de9709b1a24083217181a1f,78552,sinop,MT
a888faf2d1baececa6baf9c3d603ee1f,87502,umuarama,PR
609e1a9a6c2539919b8205cf7c4e6ff0,88359,brusque,SC
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
2eb70248d66e0e3ef83659f71b244378,13101,campinas,SP
6061155addc1e54b4cfb51c1c2a32ad8,13043,campinas,SP
e882b2a25a10b9c057cc49695f222c19,25963,teresopolis,RJ
dbc22125167c298ef99da25668e1011f,37564,borda da mata,MG
048c2757535328e0d7dac690ad3c0aae,14406,franca,SP
951e8cef368f09bb3f3d03c00ca4702c,14940,ibitinga,SP
d91fb3b7d041e83b64a00a3edfb37e4f,11704,praia grande,SP
c864036feaab8c1659f65ea4faebe1da,83605,campo largo,PR
9c068d10aca38e85c50202e17b4a7e88,79400,coxim,MS
7c67e1448b00f6e969d365cea6b010ab,8577,itaquaquecetuba,SP
66dc1b1632bd6a3e508510c5b3492107,17210,jau,SP
4bf2f4ee540798a61f9636d12cd9cc80,19814,assis,SP
1d8dbc4f32378d715c717c1c1fc57bae,86706,arapongas,PR
bacb1f0ed56ad24198f5810d2b3fe9a5,12328,jacarei,SP
128639473a139ac0f3e5f5ade55873a5,87050,maringa,PR
376a891762bbdecbc02b4b6adec3fdda,74323,goiania,GO
d2374cbcbb3ca4ab1086534108cc3ab7,14940,ibitinga,SP
058cb5aeb36d7c0fcae20fc85d5e0a59,21635,rio de janeiro,RJ
0dd184061fb0eaa7ca37932c68ab91c5,7031,guarulhos,SP
c3867b4666c7d76867627c2f7fb22e21,14580,guara,SP
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP
08633c14ef2db992c11f840f04fad4cd,9416,ribeirao pires,SP
f419677537694f0462a91990df6ca44f,9750,sao bernardo do campo,SP
5b8154610ebb21fb90eb587365e673df,12246,sao jose dos campos,SP
acce39e832338debb07b02385cde5967,32110,contagem,MG
f262cbc1c910c83959f849465454ddd3,3564,sao paulo,SP
65febd49fd28ec955651299159b1f527,3275,sao paulo,SP
9a84ba99f5367fdbd4598363496f1ea2,72801,luziania,GO
1987cd4be10fe09ee50454f9c354d1c6,37570,ouro fino,MG
066a6914e1ebf3ea95a216c73a986b91,85863,foz do iguacu,PR
6d66611d7c44cc30ce351abc49a68421,4378,sao paulo,SP
3d8fa2f5b647373c8620330c4e077a9f,3031,sao paulo,SP
cc419e0650a3c5ba77189a1882b7556a,9015,santo andre,SP
de722cd6dad950a92b7d4f82673f8833,51250,recife,PE
45ba18c210d42734ec52c0c1c574e9ee,18130,sao roque,SP
6039e27294dc75811c0d8a39069f52c0,6162,osasco,SP
53d00c40e32aeb924a84ce72b1af869d,14940,ibitinga,SP
93dc87703c046b603023e75222018b45,30315,belo horizonte,MG
b3f19518fcec265b2e97af287725f981,15170,tanabi,SP
b2ba3715d723d245138f291a6fe42594,3470,sao paulo,SP
b410bdd36d5db7a65dcd42b7ead933b8,74645,goiania,GO
6a0cbc8af2e8abd1bdfb777943d174c6,14312,batatais,SP
7ddcbb64b5bc1ef36ca8c151f6ec77df,4403,sao paulo,SP
855668e0971d4dfd7bef1b6a4133b41b,13257,itatiba,SP
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR
bf84056e679dbe9c69929847a40e338f,2537,sao paulo,SP
1c129092bf23f28a5930387c980c0dfc,2972,sao paulo,SP
b499c00f28f4b7069ff6550af8c1348a,13481,limeira,SP
6c177e38df6d3f34182b1f1d427231bf,80430,curitiba,PR
4c2b230173bb36f9b240f2b8ac11786e,3933,sao paulo,SP
ac6417315ae5da8f9a38ee11de6f7780,7400,aruja,SP
013900e863eace745d3ec7614cab5b1a,80740,curitiba,PR
c679fb69a36e1d8349e8c50a217b4d58,95020,caxias do sul,RS
4e922959ae960d389249c378d1c939f5,12327,jacarei,SP
b8630e1121437d41cb08e3c749c2c2e2,25070,duque de caxias,RJ
8581055ce74af1daba164fdbd55a40de,7112,guarulhos,SP
bb5bd94c8f59cc050072d2930c869cac,5008,sao paulo,SP
2a7dc43cecabf23403078e2188437d1d,4142,sao paulo,SP
ea566164622c6b439516ab18062c42cd,5303,sao  paulo,SP
d6ab728cf30867cf3f1a2e216ae2f9b7,3185,sao paulo,SP
d921b68bf747894be13a97ae52b0f386,35570,formiga,MG
c8417879a15366a17c30af34c798c332,4445,sao paulo,SP
16090f2ca825584b5a147ab24aa30c86,12940,atibaia,SP
e06f09ec0a4aca210779cf1cfc63cf19,4773,sao paulo,SP
8a130737016f838139d31878787a39c9,3187,sao paulo,SP
11742f81550ac064cc9a40f67151d9ad,15810,catanduva,SP
850f4f8af5ea87287ac68de36e29107f,4367,sao paulo,SP
0241d4d5d36f10f80c644447315af0bd,80330,curitiba,PR
897060da8b9a21f655304d50fd935913,14092,ribeirao preto,SP
ae45df84722b1d15c5f32b23a095746c,3062,sao paulo,SP
da8622b14eb17ae2831f4ac5b9dab84a,13405,piracicaba,SP
b37c4c02bda3161a7546a4e6d222d5b2,3667,sao paulo,SP
710e3548e02bc1d2831dfc4f1b5b14d4,86600,rolandia,PR
30a2f535bb48308f991d0b9ad4a8c4bb,13457,santa barbara d'oeste,SP
a36b125ac6d5fdbc7f50de85c9157bdc,14020,ribeirao preto,SP
1336efc61c316ddf92c899eb817f7cae,19800,assis,SP
88460e8ebdecbfecb5f9601833981930,87030,maringa,PR
7d76b645482be4a332374e8223836592,1511,sao paulo,SP
01fd077212124329bac32490e8ef80d9,14079,ribeirao preto / sao paulo,SP
06a2c3af7b3aee5d69171b0e14f0ee87,65072,sao luis,MA
adbc26658d6c7b4b6219f9d934598091,81770,curitiba,PR
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR
58e4b302b54937e55a678c4d15111da4,83402,colombo,PR
d1c281d3ae149232351cd8c8cc885f0d,14940,ibitinga,SP
f80edd2c5aaa505cc4b0a3b219abf4b8,3431,sao paulo,SP
562fc2f2c2863ab7e79a9e4388a58a14,13070,campinas,SP
3bb548e3cb7f70f28e3f11ee9dce0e59,87040,maringa,PR
522620dcb18a6b31cd7bdf73665113a9,85801,cascavel,PR
ff1e15b778c700abdd4d239b81ac466d,81260,curitiba,PR
85d9eb9ddc5d00ca9336a2219c97bb13,31255,belo horizonte,MG
a673821011d0cec28146ea42f5ab767f,3809,sao paulo,SP
e26901d5ab434ce92fd9b5c256820a4e,9350,maua,SP
aac29b1b99776be73c3049939652091d,38408,uberlandia,MG
54a1852d1b8f10312c55e906355666ee,13456,santa barbara d'oeste,SP
c826c40d7b19f62a09e2d7c5e7295ee2,7133,guarulhos,SP
594f9aaa48e5bf431f011ddc5669b0d5,32185,contagem,MG
eba88037e1dca898cd02881f67ced679,3647,sao paulo,SP
f7ccf836d21b2fb1de37564105216cc1,14940,ibitinga,SP
7e3f87d16fb353f408d467e74fbd8014,4809,sao paulo,SP
4830e40640734fc1c52cd21127c341d4,3573,sao paulo,SP
5f7300535881cef3b625fd683cf7d145,92020,canoas,RS
b1a81260566c1bac3114a6d124413f27,99500,carazinho,RS
cca3071e3e9bb7d12640c9fbe2301306,14940,ibitinga,SP
788e857f317e53de488d393e65a80f45,8280,sao paulo,SP
d50d79cb34e38265a8649c383dcffd48,8290,sao paulo,SP
efcd8d2104f1a05d028af7bad20d974b,16012,aracatuba,SP
530ec6109d11eaaf87999465c6afee01,85807,cascavel,PR
0adac9fbd9a2b63cccaac4f8756c1ca8,13290,louveira,SP
6d22a1fcebb6dd08c9cd90b92a93e8d0,89215,joinville,SC
7b0df942f46435babab05d49b744b2c4,12924,braganca paulista,SP
f27e33c6d29b5138fa9967bcd445b6d5,4273,sao paulo,SP
6fc26fe110feebd80a433e1f012a84f9,15601,fernandopolis,SP
98dac6635aee4995d501a3972e047414,2030,sao paulo,SP
d624126b9206f595fb3fbb6ba03b28a8,80045,curitiba,PR
26d8a1c7c75d513045798992ead43aa2,86800,apucarana,PR
04308b1ee57b6625f47df1d56f00eedf,88215,bombinhas,SC
e883aa812c37a7413226856f4579fe91,6696,itapevi,SP
e5475dcab1e07b63d7f6e902d8f5eda8,9921,diadema,SP
7a67c85e85bb2ce8582c35f2203ad736,3426,sao paulo,SP
be8e909810184b9b19e886129149d8e5,13418,piracicaba,SP
3fd1e727ba94cfe122d165e176ce7967,14802,araraquara,SP
8160255418d5aaa7dbdc9f4c64ebda44,14940,ibitinga,SP
bbad7e518d7af88a0897397ffdca1979,1512,sao paulo,SP
a806a4bb063ea7ca6d374eafa50a6058,29161,serra,ES
e21a1e8be4715b0fcfd5385643bc49c4,88715,jaguaruna,SC
63bc58679c44e8a998792119fd7ad23e,5595,sao paulo,SP
a7f13822ceb966b076af67121f87b063,8577,itaquaquecetuba,SP
c003204e1ab016dfa150abc119207b24,7790,cajamar,SP
de23c3b98a88888289c6f5cc1209054a,5530,sao paulo,SP
3d871de0142ce09b7081e2b9d1733cb1,13232,campo limpo paulista,SP
86ccac0b835037332a596a33b6949ee1,89041,blumenau,SC
670c26e0f1bf8d0576271d5cfaec6d2b,87025,maringa,PR
f4aba7c0bca51484c30ab7bdc34bcdd1,1031,sao paulo,SP
8c16d1f32a54d92897cc437244442e1b,89023,blumenau,SC
f5a590cf36251cf1162ea35bef76fe84,9720,sao bernardo do campo,SP
1da3aeb70d7989d1e6d9b0e887f97c23,4265,sao paulo,SP
