order_id,payment_sequential,payment_type,payment_installments,payment_value
243312dbb316253ab77bb0140d94803c,1,credit_card,10,285.79
92f4f749aa508d58dee50d9ccdb6c9dd,1,credit_card,3,62.31
f75517cfb973c21eab8559a870263794,1,credit_card,10,231.27
56430e0b9968b381942760e433583b27,1,debit_card,1,33.1
8ef3801f58da6b652a3082e1fa5b6589,1,credit_card,2,129.15
5662e7f8bbc6abe55e104ac06994a731,1,credit_card,3,57.69
b18478bbf9b2283e3d12452f69fd9ce2,2,credit_card,1,79.92
09fd9b0402ed675bbd1ee1e81171ac7c,2,voucher,1,43.98
5fe9874b96028c851e35c1c28aede4c2,1,credit_card,3,167.77
38b80ac02e3ce34b306483fc57a33bc5,1,boleto,1,35.86
c6c17394464f987209982d3f1423f068,1,credit_card,10,139.8
087c44ddc65697d4a3a2af9234c5a22b,1,credit_card,1,66.25
778d960ed98fe278fca42ee20d002b1f,1,boleto,1,64.03
578daeebdebcc19bd2dcba1f6b06b3ce,1,credit_card,10,108.3
7b4cc813e327ec14c78f547a763f46b8,1,credit_card,3,399.35
a8011c5b1b6536063a53c05cabf56bb0,1,credit_card,1,31.77
8fad1f3654133d30218cd4b6fae827ee,1,credit_card,2,73.34
ece3ab91bd67ba73563dd0468fc3bde2,1,credit_card,2,244.27
a9c74f167b0d8af61d6487fc21934f7e,1,boleto,1,246.23
cd3e9759dc483946db2133168746fddf,1,credit_card,2,185.57
20cae0a28869a4321d8fe372731f80e0,1,credit_card,1,85.8
b0200f320613faea21c999a90efa28ab,1,credit_card,1,69.93
e19a8635d806af6ae2d20b3de998b0c8,1,credit_card,1,120.08
ea9a48e8b350731ae78378381394a086,1,credit_card,6,271.24
e6bcb00ca5426e9d00b50f8eeee367c7,1,credit_card,4,114.44
51c064ec2d79d398b30db3f8e1de8ec8,1,boleto,1,38.63
2259c28617dcf9c2ed34e78bb3dfb562,1,credit_card,5,71.35
f939e2a89376e44158657a15465cacce,1,boleto,1,308.61
fe8568b0167c1e87d6f1dab1033c9278,1,credit_card,3,179.36
e504f586e9ffc862cad95482af740af4,1,credit_card,3,89.25
b18478bbf9b2283e3d12452f69fd9ce2,1,credit_card,1,84.0
bb787d6e68f079fbf94e8df39219086d,1,credit_card,3,38.03
e7d3f9457c859cd5b63a25a4c2afb2e0,1,credit_card,4,50.09
12aab7cb25bc6ae86c66cb3e7dc35a76,1,credit_card,10,546.65
17421d31a07ce8e9c61fe6b1adecfdaf,1,credit_card,2,357.13
bb102364b6a29f9f8683f21e5825595a,1,credit_card,1,20.08
654236657c61378a35416f08170ff0ad,1,credit_card,1,81.68
8f2b0c41d21837f8c6d4682867c66ffb,1,boleto,1,74.63
67b50899f52995848c427e361e10dde3,1,credit_card,3,108.43
6f8ef1903034bc19ff5a5c51dbcec604,1,credit_card,1,103.2
b4c45d4cc2a2e24e10d4e20bae928819,1,boleto,1,27.75
9eaec2635ebf99416ead21c62ef53f67,1,credit_card,3,65.0
3431dbb0c64629bd76dc81b736c46e4d,1,credit_card,2,394.09
cecccaa359491439461332bbb0dad3d5,1,credit_card,2,206.84
fb66173878dcc988e4e3e1151901b298,1,credit_card,1,127.92
e0ff8fbdba29b1192269bb50ef72245e,1,credit_card,4,226.05
9822680d395506e5602b3c1ea555aa61,1,credit_card,1,49.37
